Date,Close,High,Low,Open,Volume
03-01-2000,4.041899204,4.061783816,3.873542017,3.923916456,35678775
04-01-2000,3.998152018,4.056480467,3.792676398,3.979593232,27698564
05-01-2000,4.150601864,4.318959023,3.833772155,3.833772155,68399389
06-01-2000,4.460803509,4.483339761,4.214233256,4.214233256,45604218
07-01-2000,4.558900356,4.745816725,4.409102458,4.597344196,64862245
10-01-2000,4.831984043,4.902243982,4.611927085,4.611927085,82679734
11-01-2000,4.446220875,4.772329958,4.446220875,4.745817149,30385036
12-01-2000,4.382590294,4.560226846,4.219535518,4.37463582,41637507
13-01-2000,4.220860481,4.50720034,4.137344595,4.451523533,28226963
14-01-2000,4.207603931,4.292445635,4.136019082,4.268583568,27459807
17-01-2000,4.422359467,4.544318755,4.324261798,4.373310407,59244274
18-01-2000,4.581436634,4.666278345,4.328238222,4.425010517,62638289
19-01-2000,4.582762718,4.719304236,4.533713657,4.692791424,46612607
20-01-2000,4.324261189,4.745816705,4.260629912,4.533712901,147077200
21-01-2000,4.305701256,4.368007158,4.218208819,4.313655728,49780760
24-01-2000,4.007431507,4.345471629,3.976941686,4.345471629,43574830
25-01-2000,3.935845852,4.082992545,3.897402016,3.976940878,53971979
26-01-2000,3.935845852,3.935845852,3.935845852,3.935845852,0
27-01-2000,3.931869507,4.069736816,3.910659082,4.014059114,26117052
28-01-2000,3.831120968,4.003454688,3.797979504,3.923915805,35562060
31-01-2000,3.694578409,3.8178635,3.674693579,3.794002334,22607247
01-02-2000,3.725068331,3.783396999,3.67469346,3.687950313,31135985
02-02-2000,3.739650726,3.851005024,3.711812321,3.809910439,24517675
03-02-2000,3.711812973,3.876193145,3.699882161,3.762187861,58332652
04-02-2000,3.714463472,3.764837898,3.685299023,3.762186932,29466753
07-02-2000,3.685299635,3.734348473,3.6654148,3.711812673,16559674
08-02-2000,3.740975857,3.804607126,3.661436996,3.672042207,47686611
09-02-2000,3.828469515,3.983570276,3.794003129,3.854982327,50720220
10-02-2000,3.76086092,3.857633436,3.740976539,3.857633436,19483033
11-02-2000,3.717114687,3.816538394,3.705183878,3.812561382,20478990
14-02-2000,3.569967985,3.72506896,3.501034319,3.685299295,18048444
15-02-2000,3.493080139,3.632273053,3.453310703,3.539478002,32393140
16-02-2000,3.588526964,3.658786221,3.565991167,3.600457773,14320383
17-02-2000,3.601783276,3.649506737,3.555386085,3.605760287,13636351
18-02-2000,3.531524181,3.619017081,3.51296517,3.604434856,11543128
21-02-2000,3.530197859,3.678670368,3.49970782,3.552733652,20764020
