Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2000-02-02,6.181037902832031,6.315374440844751,5.906187808665994,5.929349329484292,4047744
2000-02-03,5.895378589630127,6.253610280613456,5.686924913609679,6.176404979809536,2237952
2000-02-04,5.726300239562988,6.068318986121002,5.670712726095009,6.068318986121002,598416
2000-02-07,5.688469886779785,5.944790350664696,5.562625241546961,5.944790350664696,182352
2000-02-08,5.4630303382873535,5.713174830797235,5.261525180277111,5.709314812985157,822312
2000-02-09,5.879166126251221,5.900011354364424,5.436009059244946,5.697734324509425,3159816
2000-02-10,5.4089860916137695,5.782658519451533,5.4089860916137695,5.690012451279634,920208
2000-02-11,5.060022354125977,5.558767491179109,4.976640700391522,5.557223412659354,597600
2000-02-14,5.436009407043457,5.464575379810289,4.941124815790712,5.080093954548108,1243560
2000-02-15,5.140313625335693,5.836703338752748,5.002888576073784,5.836703338752748,639072
2000-02-16,5.0963053703308105,5.296266410882318,5.018328219521146,5.219061475531999,396480
2000-02-17,5.060792446136475,5.1341370285852435,4.9720063781369355,5.095534728375398,329280
2000-02-18,4.657009124755859,5.095534269138348,4.657009124755859,5.064652007653623,613872
2000-02-21,4.538885593414307,4.786713780670714,4.48252587256471,4.48252587256471,1031400
2000-02-22,4.176023483276367,4.53965939472117,4.176023483276367,4.53965939472117,2293128
2000-02-23,4.083375930786133,4.33892450571071,3.8424959175729083,4.184514258954373,2671704
2000-02-24,4.170616626739502,4.215395934893831,3.9528985165237485,4.014662677331419,604824
2000-02-25,4.1698455810546875,4.2462786699170465,4.142051826945672,4.1999556285964355,961008
2000-02-28,4.501827239990234,4.503371671216577,4.153632569385632,4.314991351113038,428328
2000-02-29,4.23546838760376,4.862373671787642,4.170616080265774,4.848476622566416,919488
2000-03-01,4.260948657989502,4.516497665168795,4.2462797383359865,4.516497665168795,650640
2000-03-02,3.9714293479919434,4.477122882779379,3.9220181414542203,4.24627949359775,621240
2000-03-03,3.8509886264801025,3.9374583952877504,3.7066150577417525,3.9374583952877504,822552
2000-03-06,3.543713092803955,3.8756948115791174,3.542940877093369,3.8525332880967387,1099152
2000-03-07,3.2603702545166016,3.627094599922138,3.260370254516601,3.4896691881160327,317712
2000-03-08,3.0248961448669434,3.2101883962298943,3.010999084647953,3.057322147488691,861720
2000-03-09,3.055777072906494,3.149967246419688,2.8565878262514675,3.057321150936756,2550264
2000-03-10,3.0673577785491943,3.162319812626356,2.984748015070628,3.05577701682636,1955280
2000-03-13,3.0704448223114014,3.1654071863365165,3.0109973038038707,3.071217391246633,774288
2000-03-14,3.286618947982788,3.308236386273002,3.0418789547894303,3.0727608580254424,658152
2000-03-15,3.4526100158691406,3.549888677291862,3.305920515016191,3.3584202166557207,4506456
2000-03-16,3.442574977874756,3.505111031215774,3.3198188118842467,3.4742291124661397,242064
2000-03-17,3.442574977874756,3.4425749778747554,3.4425749778747554,3.4425749778747554,0
2000-03-20,3.442574977874756,3.4425749778747554,3.4425749778747554,3.4425749778747554,0
2000-03-21,3.712019443511963,3.718195754488391,3.3970226358797455,3.4587868058942517,775536
2000-03-22,3.944406509399414,3.9837810185505838,3.6904016784486524,3.7058428079540313,939720
2000-03-23,4.047863006591797,4.099590514102754,3.6927196900307053,3.6927196900307053,502824
2000-03-24,3.786135673522949,4.016206757414062,3.7251437281415836,3.9220166153367177,647280
2000-03-27,3.4873530864715576,3.860253764222187,3.48349306808293,3.6749615722301843,265248
2000-03-28,3.766835927963257,3.766835927963257,3.3970233943080723,3.5359925428047707,303264
2000-03-29,4.047863006591797,4.06793637826521,3.9451802074420343,4.014664792426827,762984
2000-03-30,3.889589786529541,3.9528976576795922,3.7892233562632454,3.9374568858950005,1514664
2000-03-31,4.022382736206055,4.138190307371616,3.782275344950563,3.8756932638685635,424440
2000-04-03,4.344328880310059,4.344328880310059,4.080287684198093,4.122750708000281,325920
2000-04-04,4.146684646606445,4.288741946283228,4.062531156766221,4.246279270208688,1113336
2000-04-05,4.003853797912598,4.16752884240217,3.8617965455411674,4.108852836379175,406680
2000-04-06,3.933598518371582,4.014663848459629,3.7243729501571,4.014663848459629,366504
2000-04-07,4.209991931915283,4.246278287453656,4.014663101712244,4.014663101712244,469440
2000-04-10,4.14745569229126,4.292601472875037,4.122750448603326,4.246278434126685,408072
2000-04-11,4.144367694854736,4.199955197365309,3.945178496261193,4.01466305110777,443136
2000-04-12,4.039369106292725,4.169073764786108,4.0146635075439985,4.1235225851633945,255720
2000-04-13,4.02161169052124,4.169073408192502,3.829371012682351,3.860252920122644,750144
2000-04-14,4.02161169052124,4.02161169052124,4.02161169052124,4.02161169052124,0
2000-04-17,3.8193345069885254,4.014663349234476,3.7104754336617503,3.7104754336617503,440880
2000-04-18,3.702754497528076,3.8602528959803557,3.667240357206357,3.8602528959803557,642192
2000-04-19,3.4379422664642334,3.922017980992467,3.407060351995837,3.922017980992467,1570824
2000-04-20,3.232576608657837,3.428677717698883,3.1654083244811497,3.428677717698883,2334840
2000-04-21,3.232576608657837,3.232576608657837,3.232576608657837,3.232576608657837,0
2000-04-24,3.1646366119384766,3.2426138004525598,3.1507395542840797,3.2426138004525598,1150968
2000-04-25,3.032615900039673,3.134526475499606,2.9955573161905074,3.134526475499606,2860704
2000-04-26,3.0457394123077393,3.1229443493135243,3.0264379129937726,3.1229443493135243,2797992
2000-04-27,2.9438297748565674,3.142246637587546,2.831110306730143,3.085886903524334,1148928
2000-04-28,2.708353281021118,2.933791967877961,2.708353281021118,2.918351191891789,1858704
2000-05-01,2.708353281021118,2.708353281021118,2.708353281021118,2.708353281021118,0
2000-05-02,2.3871803283691406,2.748499984943016,2.3833203108615373,2.748499984943016,1856784
2000-05-03,2.514568567276001,2.6558537896748335,2.2929902485753915,2.2929902485753915,2768904
2000-05-04,2.606442451477051,2.6512214066489532,2.4690176076118613,2.5477667985449193,2108016
2000-05-05,2.492952346801758,2.6095318459815564,2.441225018180864,2.6095318459815564,4114656
2000-05-08,2.411886215209961,2.540046436307184,2.394901183150402,2.4728779935318026,1428408
2000-05-09,2.4543492794036865,2.4705622751975085,2.3362253679889244,2.3856369244996602,1166568
2000-05-10,2.499899387359619,2.539274069223364,2.4473998704440714,2.5014436415201287,1676472
2000-05-11,2.4659292697906494,2.5083922852732594,2.439679598446868,2.5083922852732594,14694888
2000-05-12,2.4327309131622314,2.4705613401691444,2.39721677899928,2.4280986808909772,6641352
2000-05-15,2.3763718605041504,2.455121061984965,2.362474984174211,2.401077280984199,10385616
2000-05-16,2.4736506938934326,2.5014444504371545,2.393357226748471,2.416518749437704,681600
2000-05-17,2.645817518234253,2.763941233376039,2.535414191854432,2.6249721151602032,2754456
2000-05-18,2.963901996612549,2.963901996612549,2.595633836484542,2.655853746076486,3174936
2000-05-19,2.8118081092834473,3.0542316378333965,2.655853628847883,2.980114856485321,6805344
2000-05-22,2.872028112411499,2.887468888157415,2.702176751872802,2.702176751872802,1139136
2000-05-23,2.9206674098968506,2.995556236285219,2.794822960731293,2.8172126168152194,1017048
2000-05-24,3.2711784839630127,3.2711784839630127,2.933792359129009,2.933792359129009,1888704
2000-05-25,3.544484853744507,3.663380623765364,3.258053974413901,3.33525928609204,3355968
2000-05-26,3.712019443511963,3.7977169952684986,3.4587868058942517,3.520550975908758,3556176
2000-05-29,3.711247205734253,3.8293710962440106,3.644078940725482,3.7676069265989214,1842120
2000-05-30,3.5452566146850586,3.705843545292291,3.437169746891888,3.705843545292291,6373800
2000-05-31,3.1715846061706543,3.551433445973334,3.134526027616677,3.551433445973334,2164584
2000-06-01,2.795595645904541,3.0418797837012597,2.7909634121693587,3.0279827290789325,6423744
2000-06-02,2.8241608142852783,2.916806882107012,2.794822810344499,2.8102639394536886,3885768
2000-06-05,3.0164012908935547,3.1630907800786465,2.85349881056652,2.85349881056652,4261632
