Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2000-01-03,15.532905578613281,15.532905578613281,14.933645963161494,15.045210781106654,25152894
2000-01-04,16.517850875854492,16.702728109535208,15.226896001031212,15.532900453625164,47648560
2000-01-05,15.838910102844238,16.874862765299866,15.618970077674536,15.873972818633789,36396207
2000-01-06,16.63898277282715,17.085239479919977,16.065225990477376,16.065225990477376,70573968
2000-01-07,17.42312240600586,17.843877616777668,16.256479911846604,16.67086230872359,83453217
2000-01-10,17.18086051940918,18.478192184318928,16.906732983376493,17.85024539843825,58497022
2000-01-11,15.807036399841309,17.02148974394101,15.807036399841309,17.008740250719562,25729224
2000-01-12,15.603029251098633,16.03334806590632,15.083460138451454,15.555215763066995,29729836
2000-01-13,15.587090492248535,16.29472517571194,15.497838910992863,15.682716173870832,34199308
2000-01-14,15.2492094039917,15.618965195922552,15.179083994330494,15.618965195922552,15967246
2000-01-17,15.038836479187012,16.001475363457928,14.809334013964394,15.580718910774983,46484261
2000-01-18,15.073897361755371,15.36396406989745,14.901769567214899,15.102585971881421,28686319
2000-01-19,15.55202865600586,15.77834402763008,15.300213015272087,15.35758894295321,26623142
2000-01-20,15.153590202331543,15.606221085996527,15.061151537040496,15.491469195035599,12278096
2000-01-21,15.13764762878418,15.284275142298885,15.013333333953499,15.220523825337967,12491796
2000-01-24,14.554330825805664,15.322528715975483,14.477829999651053,15.086650846480726,19667143
2000-01-25,14.334388732910156,14.528827177176492,14.190948254619014,14.407701208661466,23597920
2000-01-26,14.334388732910156,14.334388732910156,14.334388732910156,14.334388732910156,0
2000-01-27,14.672268867492676,15.013336157651972,14.535205056734048,14.598955096946515,21205095
2000-01-28,15.842094421386719,15.848471099734317,14.834831835222035,14.834831835222035,52762279
2000-01-31,15.59984016418457,16.36803776782275,15.459588057511297,15.682715061719588,51181391
2000-02-01,15.714591026306152,15.982344467629755,15.475526190117726,15.61896534957846,23279485
2000-02-02,15.77834415435791,16.492354272637165,15.682717177875146,16.383977805866486,24676879
2000-02-03,16.498727798461914,16.887608472501352,15.84846907129075,15.93771935944009,77717350
2000-02-04,16.313854217529297,16.878049878170863,16.224603902235696,16.575233638894385,33982238
2000-02-07,15.771967887878418,16.492353355615418,15.529714698492661,16.492353355615418,21819083
2000-02-08,15.4468412399292,15.842096106658888,15.35121425183639,15.746470407304766,25418399
2000-02-09,15.644469261169434,16.19272704912006,15.501030068286884,16.19272704912006,14956246
2000-02-10,15.86121940612793,15.998283184428228,15.440463054419691,15.440463054419691,19541274
2000-02-11,15.94409465789795,16.4286010061347,15.72096636131202,16.001470579233665,31623752
2000-02-14,16.995986938476562,17.2223036190373,16.02378699770923,16.065225099802777,67707767
2000-02-15,16.186349868774414,17.340241251965217,15.746468609008431,17.33386586240605,50319322
2000-02-16,15.937719345092773,16.38397594039128,15.778342357839986,16.38397594039128,21683665
2000-02-17,15.937719345092773,16.179972520365613,15.746466702641753,15.81021801303822,18448442
2000-02-18,15.37033748626709,16.116221922695303,15.23646075950463,16.049284848052515,16000844
2000-02-21,15.567967414855957,15.867597874880396,15.300215195422508,15.491466596626585,21332035
2000-02-22,15.115335464477539,15.708218371859953,14.917707399103865,15.618968068375189,17503185
2000-02-23,14.920894622802734,15.81021956175206,14.790204939183424,15.612591511154763,13530713
2000-02-24,15.513777732849121,15.746468495808383,14.933644350644665,15.04520915654319,16693494
2000-02-25,15.363964080810547,15.714593771289797,15.24602516712517,15.427715402257178,11083761
2000-02-28,15.647652626037598,15.854843095280234,15.128083572294175,15.363961357860385,15615542
2000-02-29,14.583014488220215,16.702731596145096,14.398137215947312,15.867595531833249,41242798
2000-03-01,15.057960510253906,15.395840731411036,14.34395030360328,14.853958330490123,21711444
2000-03-02,14.407699584960938,15.389463157626663,14.216446924198284,15.236461544511942,24391861
2000-03-03,13.27293586730957,14.528828557549417,13.256999323612867,14.216449877039329,18472003
2000-03-06,13.521563529968262,14.280198814082123,12.950992575100154,13.68731592853381,25168241
2000-03-07,13.228307723999023,13.610813038638476,12.909553724712307,13.521562743630826,21692038
2000-03-08,12.205103874206543,13.323932298010547,12.170041172571086,13.323932298010547,18162937
2000-03-09,11.405035018920898,12.367673887614382,11.229720155324642,12.20829685604858,24882047
2000-03-10,10.863150596618652,11.532535552473806,10.71971077911562,11.532535552473806,13936660
