Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-08-29,202.01097106933594,204.67127378611275,198.6641504464784,199.1361413277762,3212067
2003-09-01,202.13973999023438,203.38407029083686,198.83581631100412,202.8691686725569,2478236
2003-09-02,194.41627502441406,201.5390102010954,192.31378429794248,201.5390102010954,3975812
2003-09-03,191.19818115234375,198.87871577704664,189.65348947886648,194.8882742905141,3945233
2003-09-04,190.12545776367188,193.68681853287578,187.46515502667125,191.36978784601482,3682478
2003-09-05,196.77622985839844,197.37693966456615,190.85491381176644,192.1421547226223,2971415
2003-09-08,196.30426025390625,200.72378262401114,194.93119789520736,198.23512183017417,1817991
2003-09-09,195.83229064941406,201.66778666982273,193.77270998079666,197.37698269812438,2034401
2003-09-10,195.4889678955078,197.72017737735266,193.7726468658624,195.44605725086862,1476667
2003-09-11,193.6439208984375,197.46274578265508,193.08612178441214,197.37692449073242,1092801
2003-09-12,189.095703125,196.08970713513006,188.02300232010322,195.66062681317135,2496597
2003-09-15,178.79774475097656,189.95383120968233,177.72504412994715,187.93714880435107,3469640
2003-09-16,178.92648315429688,180.213724040299,167.42713647714103,177.63924226829474,4004037
2003-09-17,185.4055938720703,188.36624522134355,179.5700993738776,182.35912122795216,3800473
2003-09-18,176.43780517578125,185.2768479071991,174.54984158801227,185.2768479071991,2813556
2003-09-19,176.56655883789062,180.5570007378636,170.60234476700379,177.6392596813772,3442717
2003-09-22,180.814453125,182.61659579546057,176.56656036690617,176.78110053746133,2575343
2003-09-23,182.91690063476562,183.9896012321886,178.6690088878687,180.47115112933514,1766451
2003-09-24,188.7523651123047,189.65343609272875,182.873974610467,185.3626343711738,2133208
2003-09-25,183.38890075683594,188.88113594906923,181.50095022914246,188.88113594906923,1916650
2003-09-26,184.33287048339844,186.95026252029785,182.87400031193485,183.98959844073732,2531520
2003-09-29,194.97410583496094,196.90496738434993,184.6332669182234,185.3627087413453,3711837
2003-09-30,199.5652313232422,200.25176235737771,195.66059834268097,197.37691938077467,3594810
2003-10-01,196.04678344726562,199.951416736337,194.88827451171127,199.09325614948577,2402620
2003-10-02,196.04678344726562,196.04678344726562,196.04678344726562,196.04678344726562,0
2003-10-03,201.15281677246094,201.667718312331,196.43293400344893,196.51875529159065,2511914
2003-10-06,207.0741424560547,207.97521364863294,201.66772839507576,203.0407905070513,3094324
2003-10-07,203.8560333251953,211.45074603996284,202.56879255037128,209.39116603804052,2440562
2003-10-08,206.17311096191406,210.24937434201436,203.4699099581712,204.88586989451397,1859277
2003-10-09,221.44830322265625,222.9071865263319,206.68795855778455,206.68795855778455,6993550
2003-10-10,230.9310302734375,233.76294987074473,222.95012071823567,223.67956248996146,3707816
2003-10-13,236.93814086914062,240.58532332634167,233.41967726086781,234.27783783903277,3693070
2003-10-14,227.32667541503906,239.0834828892849,225.52453341102662,238.5685814325705,5123854
2003-10-15,232.1324462890625,234.02041011709935,224.2373581577967,227.3267416086826,3478259
